barrier_count,case_id,critical_path_ops,distance_ratio,error_code,found,logical_rounds,max_parallel_width,mean_parallel_width,nodes,reentry_count,requested_nodes,seed,serial_fraction,solver,switch_count,topology,total_work,valid,wall_ms,worker_utilization,workers
28,18,204,1.631578947368421,,True,176,4,3.5,346,2,400,0,0.2222222222222222,dg5_bulk,3,spiral,923,True,3.3070480003516423,0.875,4
25,18,362,1.0,,True,337,8,4.84,346,3,400,0,0.6832460732984293,dg5_bulk,4,spiral,1527,True,5.324562000168953,0.605,8
346,19,346,1.0,,True,346,1,1,346,,400,1,1,dijkstra,,spiral,1188,True,2.7786509999714326,1,1
236,19,236,1.0,,True,236,1,1,346,,400,1,1,bidir,,spiral,782,True,3.129861000161327,1,1
346,19,346,1.0,,True,346,1,1,346,,400,1,1,astar,,spiral,1188,True,2.985484000419092,1,1
35,19,371,1.5789473684210527,,True,336,1,1.0,346,0,400,1,0.5,dg5_bulk,1,spiral,679,True,1.835619000303268,1.0,1
34,19,275,1.5789473684210527,,True,241,2,1.9411764705882353,346,1,400,1,0.34,dg5_bulk,2,spiral,802,True,2.4590400007582502,0.9705882352941176,2
28,19,204,1.631578947368421,,True,176,4,3.5,346,2,400,1,0.2222222222222222,dg5_bulk,3,spiral,923,True,3.9137240000854945,0.875,4
25,19,362,1.0,,True,337,8,4.84,346,3,400,1,0.6832460732984293,dg5_bulk,4,spiral,1527,True,6.066871000257379,0.605,8
1356,20,1356,1.0,,True,1356,1,1,1356,,1600,0,1,dijkstra,,spiral,4762,True,13.719032999688352,1,1
813,20,813,1.0,,True,813,1,1,1356,,1600,0,1,bidir,,spiral,2779,True,16.649072999825876,1,1
1356,20,1356,1.0,,True,1356,1,1,1356,,1600,0,1,astar,,spiral,4762,True,13.001667000025918,1,1
171,20,3177,1.0,,True,3007,1,1.0,1356,3,1600,0,0.852558542931483,dg5_bulk,4,spiral,6323,True,32.620904999930644,1.0,1
122,20,2098,1.0,,True,1977,2,1.9426229508196722,1356,3,1600,0,0.7982905982905983,dg5_bulk,4,spiral,6389,True,32.08616799929587,0.9713114754098361,2
94,20,1555,1.0,,True,1461,4,3.74468085106383,1356,3,1600,0,0.7204130262112788,dg5_bulk,4,spiral,6459,True,33.23652299968671,0.9361702127659575,4
67,20,1166,1.0,,True,1099,8,6.865671641791045,1356,3,1600,0,0.6567164179104478,dg5_bulk,4,spiral,5912,True,29.69735400074569,0.8582089552238806,8
1356,21,1356,1.0,,True,1356,1,1,1356,,1600,1,1,dijkstra,,spiral,4762,True,15.07929499985039,1,1
813,21,813,1.0,,True,813,1,1,1356,,1600,1,1,bidir,,spiral,2779,True,21.178545000111626,1,1
1356,21,1356,1.0,,True,1356,1,1,1356,,1600,1,1,astar,,spiral,4762,True,16.472056000566226,1,1
171,21,3177,1.0,,True,3007,1,1.0,1356,3,1600,1,0.852558542931483,dg5_bulk,4,spiral,6323,True,34.164603000135685,1.0,1
122,21,2098,1.0,,True,1977,2,1.9426229508196722,1356,3,1600,1,0.7982905982905983,dg5_bulk,4,spiral,6389,True,33.99918600007368,0.9713114754098361,2
94,21,1555,1.0,,True,1461,4,3.74468085106383,1356,3,1600,1,0.7204130262112788,dg5_bulk,4,spiral,6459,True,30.62003899958654,0.9361702127659575,4
67,21,1166,1.0,,True,1099,8,6.865671641791045,1356,3,1600,1,0.6567164179104478,dg5_bulk,4,spiral,5912,True,29.181558999880508,0.8582089552238806,8
4028,22,4028,1.0,,True,4028,1,1,4028,,4900,0,1,dijkstra,,spiral,14062,True,46.76922899943747,1,1
2258,22,2258,1.0,,True,2258,1,1,4028,,4900,0,1,bidir,,spiral,7749,True,61.37336900064838,1,1
4028,22,4028,1.0,,True,4028,1,1,4028,,4900,0,1,astar,,spiral,14062,True,47.817811000641086,1,1
428,22,8139,1.0,,True,7712,1,1.0,4028,3,4900,0,0.8627892030848329,dg5_bulk,4,spiral,17228,True,96.55844899953081,1.0,1
266,22,5337,1.0,,True,5072,2,1.9774436090225564,4028,3,4900,0,0.827755905511811,dg5_bulk,4,spiral,17289,True,93.36953399997583,0.9887218045112782,2
216,22,4005,1.0,,True,3789,4,3.861111111111111,4028,3,4900,0,0.7478839177750907,dg5_bulk,4,spiral,17532,True,95.70254400023259,0.9652777777777778,4
148,22,3285,1.0,,True,3137,8,7.412162162162162,4028,3,4900,0,0.6868398515558093,dg5_bulk,4,spiral,17839,True,94.9920220000422,0.9265202702702703,8
4028,23,4028,1.0,,True,4028,1,1,4028,,4900,1,1,dijkstra,,spiral,14062,True,45.20741300075315,1,1
2258,23,2258,1.0,,True,2258,1,1,4028,,4900,1,1,bidir,,spiral,7749,True,54.04731700036791,1,1
4028,23,4028,1.0,,True,4028,1,1,4028,,4900,1,1,astar,,spiral,14062,True,44.88084100012202,1,1
428,23,8139,1.0,,True,7712,1,1.0,4028,3,4900,1,0.8627892030848329,dg5_bulk,4,spiral,17228,True,105.00324199983879,1.0,1
266,23,5337,1.0,,True,5072,2,1.9774436090225564,4028,3,4900,1,0.827755905511811,dg5_bulk,4,spiral,17289,True,93.52558899990981,0.9887218045112782,2
216,23,4005,1.0,,True,3789,4,3.861111111111111,4028,3,4900,1,0.7478839177750907,dg5_bulk,4,spiral,17532,True,96.13898000043264,0.9652777777777778,4
148,23,3285,1.0,,True,3137,8,7.412162162162162,4028,3,4900,1,0.6868398515558093,dg5_bulk,4,spiral,17839,True,96.22655300063343,0.9265202702702703,8
400,24,400,1.0,,True,400,1,1,400,,400,0,1,dijkstra,,random_geometric,3680,True,6.625895000070159,1,1
427,24,427,1.0,,True,427,1,1,400,,400,0,1,bidir,,random_geometric,2858,True,9.741474999827915,1,1
133,24,133,1.0,,True,133,1,1,400,,400,0,1,astar,,random_geometric,1188,True,2.440731000206142,1,1
40,24,80,1.0460231495393717,,True,40,1,1.0,400,0,400,0,0.5,dg5_bulk,0,random_geometric,440,True,0.5419970002549235,1.0,1
21,24,42,1.0407818341235735,,True,21,2,1.9047619047619047,400,0,400,0,0.3442622950819672,dg5_bulk,0,random_geometric,440,True,0.5638610000460176,0.9523809523809523,2
22,24,109,1.0422354992065812,,True,87,4,3.6363636363636362,400,1,400,0,0.21568627450980393,dg5_bulk,1,random_geometric,599,True,2.1004279997214326,0.9090909090909091,4
14,24,115,1.0580673145716757,,True,101,8,5.714285714285714,400,1,400,0,0.14893617021276595,dg5_bulk,2,random_geometric,699,True,2.8156680000392953,0.7142857142857143,8
314,25,314,1.0,,True,314,1,1,400,,400,0,1,dijkstra,,clustered,3108,True,5.063218000032066,1,1
302,25,302,1.0,,True,302,1,1,400,,400,0,1,bidir,,clustered,2039,True,7.393572999717435,1,1
172,25,172,1.0,,True,172,1,1,400,,400,0,1,astar,,clustered,1705,True,3.352587000335916,1,1
