case_id,config,distance_ratio,emergency,exact_match,first_path_work,found,nodes,quality_budget_used,repair,seed,steps,strategy,target_work,time_ms,topology,total_work,valid,within_10pct,work_goal_ratio
36,lean_b,1.0,False,True,,True,346,0,False,0,81,geometric_corridor,173,5.488204999892332,spiral,173,True,True,0.5
37,lean_b,1.0,False,True,,True,346,0,False,1,81,geometric_corridor,173,5.2918219998900895,spiral,173,True,True,0.5
38,lean_b,1.0,False,True,,True,346,0,False,2,81,geometric_corridor,173,5.28136600041762,spiral,173,True,True,0.5
39,lean_b,1.0,False,True,,True,1356,0,False,0,274,geometric_corridor,678,20.888342000034754,spiral,678,True,True,0.5
40,lean_b,1.0,False,True,,True,1356,0,False,1,274,geometric_corridor,678,20.926518999658583,spiral,678,True,True,0.5
41,lean_b,1.0,False,True,,True,1356,0,False,2,274,geometric_corridor,678,20.752369000547333,spiral,678,True,True,0.5
42,lean_b,1.0,False,True,39,True,351,137,False,0,4,geometric_corridor,176,2.540243000112241,random_obstacles,176,True,True,0.5014245014245015
43,lean_b,1.0,False,True,40,True,343,126,False,1,4,geometric_corridor,172,2.44295799984684,random_obstacles,166,True,True,0.4839650145772595
44,lean_b,1.0,False,True,41,True,350,134,False,2,4,geometric_corridor,175,2.572622000116098,random_obstacles,175,True,True,0.5
45,lean_b,1.0,False,True,82,True,1388,612,False,0,6,geometric_corridor,694,10.840126999937638,random_obstacles,694,True,True,0.5
46,lean_b,1.0,False,True,85,True,1411,621,False,1,6,geometric_corridor,706,10.557386000073166,random_obstacles,706,True,True,0.5003543586109143
47,lean_b,1.0,False,True,80,True,1415,628,False,2,6,geometric_corridor,708,11.400434000279347,random_obstacles,708,True,True,0.5003533568904593
48,lean_b,1.0,True,True,,False,380,0,False,0,19,geometric_corridor,190,10.46367500021006,disconnected,796,True,True,2.094736842105263
49,lean_b,1.0,True,True,,False,380,0,False,1,19,geometric_corridor,190,8.559811999475642,disconnected,796,True,True,2.094736842105263
50,lean_b,1.0,True,True,,False,380,0,False,2,19,geometric_corridor,190,7.420851999995648,disconnected,796,True,True,2.094736842105263
51,lean_b,1.0,True,True,,False,1560,0,False,0,74,geometric_corridor,780,30.87985399997706,disconnected,3296,True,True,2.112820512820513
52,lean_b,1.0,True,True,,False,1560,0,False,1,74,geometric_corridor,780,30.700365000484453,disconnected,3296,True,True,2.112820512820513
53,lean_b,1.0,True,True,,False,1560,0,False,2,74,geometric_corridor,780,31.272387999706552,disconnected,3296,True,True,2.112820512820513
54,lean_b,1.0460231495393717,False,False,20,True,400,180,False,0,3,geometric_corridor,200,5.71585200032132,random_geometric,200,True,True,0.5
