case_id,distance,distance_ratio,edges,error_code,fallback_used,found,nodes,path_distance,peak_kib_uniform,quality_guard_replaced,quality_guard_used,quality_guard_work,reentry_count,requested_nodes,seed,solver,steps,switch_count,topology,topology_gate_action,topology_gate_reasons,topology_risk_class,topology_risk_score,total_time_ms,total_work,valid
36,38.0,1.0,595,,False,True,346,38.0,85.6484375,False,False,0,0,400,0,dijkstra,346,0,spiral,BASELINE,,,,2.292699999998149,1188,True
36,38.0,1.0,595,,False,True,346,38.0,128.4453125,False,False,0,0,400,0,bidir,236,0,spiral,BASELINE,,,,2.900843000020359,782,True
36,38.0,1.0,595,,False,True,346,38.0,84.78125,False,False,0,0,400,0,astar,346,0,spiral,BASELINE,,,,2.4119090001022414,1188,True
36,38.0,1.0,595,,True,True,346,38.0,187.87109375,True,True,782,0,400,0,dg5,338,1,spiral,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,,,27.369516000021576,2651,True
37,38.0,1.0,595,,False,True,346,38.0,85.6484375,False,False,0,0,400,1,dijkstra,346,0,spiral,BASELINE,,,,2.2694550000323943,1188,True
37,38.0,1.0,595,,False,True,346,38.0,84.265625,False,False,0,0,400,1,bidir,236,0,spiral,BASELINE,,,,5.84269699993456,782,True
37,38.0,1.0,595,,False,True,346,38.0,84.78125,False,False,0,0,400,1,astar,346,0,spiral,BASELINE,,,,2.2011730000031093,1188,True
37,38.0,1.0,595,,True,True,346,38.0,187.87109375,True,True,782,0,400,1,dg5,338,1,spiral,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,,,27.389951000031942,2651,True
38,38.0,1.0,595,,False,True,346,38.0,85.6484375,False,False,0,0,400,2,dijkstra,346,0,spiral,BASELINE,,,,2.299910999909116,1188,True
38,38.0,1.0,595,,False,True,346,38.0,128.4453125,False,False,0,0,400,2,bidir,236,0,spiral,BASELINE,,,,2.866862000018955,782,True
38,38.0,1.0,595,,False,True,346,38.0,84.78125,False,False,0,0,400,2,astar,346,0,spiral,BASELINE,,,,2.2661500000822343,1188,True
38,38.0,1.0,595,,True,True,346,38.0,187.87109375,True,True,782,0,400,2,dg5,338,1,spiral,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,,,28.121663999968405,2651,True
39,78.0,1.0,2382,,False,True,1356,78.0,259.8203125,False,False,0,0,1600,0,dijkstra,1356,0,spiral,BASELINE,,,,12.043609999977889,4762,True
39,78.0,1.0,2382,,False,True,1356,78.0,470.4296875,False,False,0,0,1600,0,bidir,813,0,spiral,BASELINE,,,,15.870090999897002,2779,True
39,78.0,1.0,2382,,False,True,1356,78.0,261.796875,False,False,0,0,1600,0,astar,1356,0,spiral,BASELINE,,,,12.09634899998946,4762,True
39,78.0,1.0,2382,,True,True,1356,78.0,608.63671875,False,False,0,3,1600,0,dg5,3009,4,spiral,BASELINE,,,,153.91224800009695,11087,True
40,78.0,1.0,2382,,False,True,1356,78.0,259.8203125,False,False,0,0,1600,1,dijkstra,1356,0,spiral,BASELINE,,,,12.259743999948114,4762,True
